Player,Pos,NBAID
Garret Siler,C,202081
Garrett Temple,"PG, PG-SG, SF, SG",202066
Garrison Mathews,SG,1629726
Garth Joseph,C,2123
Gary Clark,"PF, PF-SF, SF, SF-PF",1629109
Gary Forbes,"SF, SG",201814
Gary Grant,PG,202
Gary Harris,SG,203914
Gary Neal,SG,202390
Gary Payton II,"PG, SF",1627780
Gary Payton*,PG,56
Gary Trent,"C, PF, SF",718
Gary Trent Jr.,"SF, SG",1629018
Geno Carlisle,SG,2367
George Hill,"PG, SG",201588
George King,SF,77268
George Lynch,"SF, SG",248
George McCloud,SF,45
George Zídek,C,678
Georges Niang,PF,1627777
Georgios Kalaitzakis,SF,-1
Georgios Papagiannis,C,1627834
Gerald Brown,SG,1871
Gerald Fitch,PG,2809
Gerald Green,"SF, SG",101123
Gerald Henderson,SG,76993
Gerald Madkins,SG,1666
Gerald Wallace,"PF, SF, SF-PF",2222
Gerald Wilkins,SG,786
Gerard King,SF,1562
Gheorghe Mureșan,C,49
Gian Clavell,SG,1628492
Giannis Antetokounmpo,"PF, SF, SG",203507
Gigi Datome,SF,203540
Gilbert Arenas,PG,2240
Glen Davis,"C, PF",201175
Glen Rice,SF,779
Glen Rice Jr.,SG,-1
Glenn Robinson,SF,299
Glenn Robinson III,"SF, SG, SG-SF",203922
God Shammgod,PG,1539
Goga Bitadze,C,1629048
Goran Dragić,"PG, SG, SG-PG",201609
Gordan Giriček,"SF, SF-SG, SG, SG-SF",1921
Gordon Hayward,"PF, SF",202330
Gorgui Dieng,"C, PF",203476
Grant Hill*,"SF, SG",255
Grant Jerrett,PF,203511
Grant Long,PF,3
Grant Riller,PG,-1
Grant Williams,PF,1629684
Grayson Allen,SG,1628960
Greg Anderson,C,246
Greg Anthony,PG,21
Greg Brown III,SF,-1
Greg Buckner,"SF, SG",1761
Greg Foster,"C, PF",323
Greg Graham,SG,37
Greg Minor,SG,65
Greg Monroe,"C, PF",202328
Greg Oden,C,201141
Greg Ostertag,C,731
Greg Smith,"C, PF",78190
Greg Stiemsma,C,201880
Greg Whittington,PF,-1
Greivis Vásquez,PG,202349
Guerschon Yabusele,PF,1627824
Guillermo Díaz,SG,200799
Gustavo Ayón,"C, PF",202970
Guy Rucker,PF,2462
Ha Seung-Jin,C,-1
Hakeem Olajuwon*,C,165
Hakim Warrick,PF,101124
Hamady N'Diaye,C,202380
Hamed Haddadi,C,201632
Hamidou Diallo,"SF, SG, SG-SF",1628977
Hanno Möttölä,"C, SF",2069
Harold Ellis,SF,1677
Harold Jamison,PF,1942
Harrison Barnes,"PF, PF-SF, SF",203084
Harry Giles,"C, PF",-1
Harvey Grant,"PF, SF",265
Hasheem Thabeet,C,201934
Hassan Adams,SG,200801
Hassan Whiteside,C,202355
Hassani Gravett,PG,1629755
Haywood Highsmith,SF,1629312
Haywoode Workman,PG,906
Hedo Türkoğlu,"PF, SF, SF-PF",2045
Henry Ellenson,"C, PF",1627740
Henry James,PF,1080
Henry Sims,C,203156
Henry Walker,"SF, SG, SG-SF",201611
Herb Williams,"C, PF",1006
Herbert Jones,PF,-1
Hersey Hawkins,SG,765
Hilton Armstrong,"C, PF-C",200756
Hiram Fuller,PF,2673
Hollis Thompson,"SF, SG",203138
Horace Grant,"C, PF",270
Horace Jenkins,PG,2798
Horacio Llamas,C,1024
Hot Rod Williams,C,73
Howard Eisley,"PG, SG",458
Hubert Davis,"PG, SG",93
Ian Clark,SG,203546
Ian Mahinmi,C,101133
Ibo Kutluay,SG,-1
Ignas Brazdeikis,SF,1629649
Igor Rakočević,PG,2080
Ike Anigbogu,C,1628387
Ike Diogu,PF,101113
Iman Shumpert,"PG, SF, SG",202697
Ime Udoka,"PF, SF, SG",2137
Immanuel Quickley,PG,-1
Ira Bowman,"PG, SG",1085
Ira Newble,"SF, SG, SG-SF",1956
Isaac Austin,C,-1
Isaac Bonga,"PG, SF",1629067
Isaac Fontaine,SG,-1
Isaac Humphries,C,1629353
Isaac Okoro,"SF, SG",-1
Isaiah Briscoe,PG,1628515
Isaiah Canaan,"PG, PG-SG, SG",203477
Isaiah Hartenstein,"C, PF",1628392
Isaiah Hicks,PF,1628439
Isaiah Jackson,PF,-1
Isaiah Joe,SG,-1
Isaiah Livers,SF,-1
Isaiah Rider,SG,375
Isaiah Roby,PF,1629676
Isaiah Stewart,C,-1
Isaiah Taylor,PG,1627819
Isaiah Thomas,"PG, SG",202738
Isaiah Todd,PF,-1
Isaiah Whitehead,PG,1627785
Ish Smith,PG,202397
Ish Wainright,PF,-1
Ivan Johnson,PF,201274
Ivan McFarlin,PF,200829
Ivan Rabb,PF,1628397
Ivano Newbill,PF,1096
Ivica Zubac,C,1627826
J.J. Barea,"PG, SG",200826
J.J. Hickson,"C, PF",201581
J.J. O'Brien,SF,1626266
J.J. Redick,"PG, SG",200755
J.P. Macura,SG,1629122
J.R. Bremer,PG,2452
J.R. Giddens,SF,201592
J.R. Henderson,SF,1764
J.R. Reid,PF,462
J.R. Smith,"SF, SG",2747
JT Thor,PF,-1
Ja Morant,PG,1629630
JaJuan Johnson,PF,202707
JaKarr Sampson,"PF, SF",203960
JaMychal Green,PF,203210
JaQuori McLaughlin,PG,-1
JaVale McGee,C,201580
Jabari Bird,SG,1628444
Jabari Brown,SG,203913
Jabari Parker,PF,203953
Jabari Smith,"C, PF",2074
Jack Cooley,"C, PF",204022
Jack Haley,C,917
Jackie Butler,C,2866
Jackson Vroman,"C, C-PF, PF",2761
Jacob Evans,SG,1628980
Jacob Pullen,PG,1626643
Jacob Wiley,PF,1628451
Jacque Vaughn,"PG, SG",1521
Jaden McDaniels,PF,-1
Jaden Springer,SG,-1
Jae Crowder,"PF, SF, SF-PF",203109
Jae'Sean Tate,SF,-1
Jahidi White,"C, PF",1751
Jahlil Okafor,C,1626143
Jahmi'us Ramsey,SG,-1
Jaime Echenique,C,-1
Jake Layman,SF,1627774
Jake Tsakalidis,C,2054
Jake Voskuhl,C,2063
Jakob Poeltl,C,1627751
Jalen Brunson,PG,1628973
Jalen Green,SG,-1
Jalen Harris,SG,-1
Jalen Johnson,PF,-1
Jalen Jones,SF,1627883
Jalen Lecque,"PG, SG",1629665
Jalen McDaniels,SF,1629667
Jalen Rose,"PG, PG-SF, SF, SF-SG, SG",147
Jalen Smith,PF,-1
Jalen Suggs,PG,-1
Jamaal Franklin,SG,203479
Jamaal Magloire,C,2048
Jamaal Tinsley,PG,2224
Jamal Crawford,"PG, PG-SG, SG",2037
Jamal Mashburn,SF,469
Jamal Murray,"PG, SG",1627750
Jamal Robinson,SF,1554
Jamal Sampson,"C, PF",2441
Jamario Moon,SF,200081
Jameel Warney,PF,1627866
Jameer Nelson,PG,2749
Jamel Thomas,SF,1975
James Anderson,"SF, SG, SG-SF",202341
James Augustine,PF,200788
James Bouknight,SG,-1
James Collins,SG,1530
James Cotton,SG,1526
James Ennis III,"SF, SF-SG, SG",203516
James Harden,"PG, PG-SG, SG",201935
James Johnson,"C, PF, PF-C, SF",201949
James Jones,"SF, SG",2592
James Lang,C,2591
James Michael McAdoo,PF,203949
James Nunnally,SF,203263
James Posey,"PF, SF, SG",1899
James Robinson,PG,381
James Singleton,"PF, PF-SF, SF",101189
James Southerland,SF,203480
James Thomas,PF,2839
James Webb III,SF,1627821
James White,"SF, SG",200778
James Wiseman,C,-1
James Young,SG,203923
JamesOn Curry,PG,201191
Jamie Feick,"C, PF, PF-C",994
Jamie Watson,SF,320
Jamil Wilson,SF,203966
Jamison Brewer,"PG, SG",2249
Jamorko Pickett,PF,-1
Jan Veselý,PF,202686
Jannero Pargo,"PG, SG",2457
Jared Butler,SG,-1
Jared Cunningham,SG,203099
Jared Dudley,"PF, SF, SG",201162
Jared Harper,PG,1629607
Jared Jeffries,"PF, PF-SF, SF",2407
Jared Reiner,C,2876
Jared Sullinger,PF,203096
Jared Terrell,SG,1629123
Jarell Eddie,SF,204067
Jarell Martin,PF,1626185
Jaren Jackson,SG,1114
Jaren Jackson Jr.,"C, PF",1628991
Jarnell Stokes,"C, PF",203950
Jaron Blossomgame,SF,1628417
Jarred Vanderbilt,PF,1629020
Jarrell Brantley,PF,1629714
Jarrett Allen,C,1628386
Jarrett Culver,SG,1629633
Jarrett Jack,"PG, SG, SG-PG",101127
Jarrod Uthoff,PF,1627784
Jarron Collins,C,2260
Jarron Cumberland,SG,-1
Jarvis Hayes,"SF, SG",2553
Jarvis Varnado,PF,202363
Jason Caffey,PF,679
Jason Collier,C,2044
Jason Collins,"C, PF",2215
Jason Hart,PG,2078
Jason Kapono,"SF, SG",2574
Jason Kidd*,"PG, SG",467
Jason Lawson,C,1535
Jason Maxiell,"C, PF",101131
Jason Miskiri,PG,1954
Jason Richardson,"SF, SG",2202
Jason Sasser,SF,987
Jason Smith,"C, PF, PF-C",201160
Jason Terry,"PG, SG",1891
Jason Thompson,"C, PF",201574
Jason Williams,PG,1715
Javaris Crittenton,"PG, PG-SG, SG",201159
Javin DeLaurier,C,-1
Javonte Green,"SF, SF-SG, SG",1629750
Javonte Smart,PG,-1
Jawad Williams,"PG, SF",101214
Jawun Evans,PG,1628393
Jaxson Hayes,C,1629637
Jay Huff,C,-1
Jay Scrubb,SG,-1
Jay Williams,PG,2398
Jaylen Adams,PG,1629121
Jaylen Brown,"SF, SG",1627759
Jaylen Hoard,"PF, SF",1629658
Jaylen Morris,SG,1628537
Jaylen Nowell,SG,1629669
Jaysean Paige,PG,-1
Jayson Tatum,"PF, SF",1628369
Jayson Williams,C,420
Jeff Adrien,PF,202399
Jeff Ayres,"C, PF",201965
Jeff Dowtin,PG,-1
Jeff Foote,C,202880
Jeff Foster,C,1902
Jeff Grayer,SG,81
Jeff Green,"C, PF, PF-C, PF-SF, SF",201145
Jeff Hornacek,SG,204
Jeff McInnis,"PG, SG, SG-PG",976
Jeff Nordgaard,PF,999
Jeff Sheppard,SG,1852
Jeff Taylor,SF,78299
Jeff Teague,PG,201952
Jeff Trepagnier,SG,2244
Jeff Withey,C,203481
Jelani McCoy,C,1741
Jemerrio Jones,SF,1629203
Jerald Honeycutt,PF,1532
Jerami Grant,"PF, SF",203924
Jerel McNeal,PG,202077
Jeremiah Martin,PG,1629725
Jeremiah Robinson-Earl,C,-1
Jeremy Evans,"PF, SF",202379
Jeremy Lamb,"SF, SF-SG, SG",203087
Jeremy Lin,"PG, SG",202391
Jeremy Pargo,"PG, PG-SG, SG",202951
Jeremy Richardson,"SF, SF-SG, SG, SG-SF",200978
Jeremy Tyler,C,202719
Jerian Grant,"PG, SG",1626170
Jericho Sims,PF,-1
Jermaine Jackson,"PG, SG",1983
Jermaine O'Neal,"C, PF",979
Jermaine Taylor,SG,201966
Jermareo Davidson,SF,201176
Jerome Beasley,PF,2602
Jerome Dyson,PG,202406
Jerome James,C,1744
Jerome Jordan,C,202366
Jerome Kersey,SF,760
Jerome Robinson,SG,1629010
Jerome Williams,"PF, SF",966
Jerrelle Benimon,PF,203968
Jerry Smith,PG,202536
Jerry Stackhouse,"SF, SG, SG-SF",711
Jerryd Bayless,"PG, SG",201573
Jeryl Sasser,SG,2219
Jevon Carter,PG,1628975
Jim Jackson,"SF, SG",754
Jim McIlvaine,C,29
Jimmer Fredette,"PG, SG",202690
Jimmy Butler,"SF, SF-SG, SG",202710
Jimmy Oliver,SG,1429
Jiří Welsch,"SF, SG, SG-SF",2412
Joakim Noah,C,201149
Jock Landale,C,-1
Jodie Meeks,SG,201975
Joe Alexander,SF,201570
Joe Chealey,PG,1629147
Joe Crawford,SF,201621
Joe Crispin,PG,2343
Joe Dumars*,SG,247
Joe Harris,"SF, SG",203925
Joe Ingles,"PF, SF",204060
Joe Johnson,"SF, SG",2207
Joe Kleine,C,170
Joe Smith,"C, PF, SF",693
Joe Stephens,SF,1086
Joe Wieskamp,SG,-1
Joe Wolf,PF,341
Joe Young,PG,1626202
Joel Anthony,"C, PF",201202
Joel Bolomboy,PF,1627762
Joel Embiid,C,203954
Joel Freeland,"C, PF",200777
Joel Przybilla,C,2038
Joey Dorsey,"C, PF",201595
Joey Graham,SF,101121
Joffrey Lauvergne,"C, PF, PF-C",203530
Johan Petro,C,101130
John Amaechi,"C, PF",680
John Celestand,PG,1911
John Coker,C,715
John Collins,PF,1628381
John Crotty,PG,180
John Edwards,C,2823
John Henson,"C, PF",203089
John Holland,SF,204066
John Jenkins,SG,203098
John Konchar,SG,1629723
John Lucas III,PG,101249
John Salley,C,927
John Salmons,"PG, SF, SG, SG-SF",2422
John Starks,SG,317
John Stockton*,PG,304
John Thomas,"C, PF",1519
John Wall,PG,202322
John Wallace,SF,961
Johnathan Motley,PF,1628405
Johnathan Williams,"C, PF",1629140
Johnny Newman,"SF, SG",271
Johnny O'Bryant,PF,-1
Johnny Taylor,SF,1511
Jon Barry,SG,468
Jon Brockman,"C, PF",201972
Jon Leuer,"C, PF, PF-C",202720
Jon Teske,C,-1
Jonah Bolden,"C, PF",1628413
Jonas Jerebko,PF,201973
Jonas Valančiūnas,C,202685
Jonathan Bender,SF,1886
Jonathan Gibson,PG,1626780
Jonathan Isaac,PF,1628371
Jonathan Kerner,C,1801
Jonathan Kuminga,SF,-1
Jonathon Simmons,"SF, SG, SG-SF",203613
Jonny Flynn,PG,201938
Jontay Porter,PF,-1
Jordan Adams,SG,203919
Jordan Bell,C,1628395
Jordan Bone,PG,1629648
Jordan Clarkson,"PG, SG",203903
Jordan Crawford,"PG, SG, SG-PG",202348
Jordan Farmar,PG,200770
Jordan Goodwin,SG,-1
Jordan Hamilton,SF,202706
Jordan Hill,"C, PF",201941
Jordan Loyd,PG,1628070
Jordan McLaughlin,PG,1629162
Jordan McRae,"PG, SG",203895
Jordan Mickey,PF,1626175
Jordan Nwora,SF,-1
Jordan Poole,SG,1629673
Jordan Schakel,SG,-1
Jordan Sibert,SG,1626296
Jordan Williams,C,202716
Jorge Garbajosa,PF,200816
Jorge Gutiérrez,PG,203268
Jose Alvarado,PG,-1
Joseph Forte,SG,2218
Josh Akognon,PG,203006
Josh Boone,"C, PF",200767
Josh Childress,"SF, SG",2735
Josh Christopher,SG,-1
Josh Davis,PF,2668
Josh Giddey,SG,-1
Josh Gray,PG,1627982
Josh Green,SG,-1
Josh Hall,SF,-1
Josh Harrellson,"C, PF",202725
Josh Hart,"SF, SG, SG-SF",1628404
Josh Howard,SF,2572
Josh Huestis,PF,203962
Josh Jackson,"SF, SG",1628367
Josh Magette,PG,203705
Josh McRoberts,"C, PF",201177
Josh Okogie,SG,1629006
Josh Powell,"C, PF",2694
Josh Reaves,SF,1629729
Josh Richardson,"SF, SG",1626196
Josh Selby,PG,202729
Josh Smith,"PF, SF",2746
Joshua Primo,SG,-1
José Calderón,"PG, SG",101181
Jrue Holiday,"PG, SG",201950
Juan Carlos Navarro,SG,2434
Juan Dixon,"PG, SG",2413
Juan Toscano-Anderson,"SF, SG",1629308
Juancho Hernangómez,PF,1627823
Juaquin Hawkins,SG,1038
Jud Buechler,SF,146
Julian Washburn,SF,1627395
Julian Wright,SF,201153
Julius Hodge,SG,101125
Julius Randle,"C, PF",203944
Julyan Stone,"PG, SG",202933
Jumaine Jones,"PF, SF, SG",1908
Junior Harrington,"PG, SG",2454
Justin Anderson,"SF, SG",1626147
Justin Champagnie,SF,-1
Justin Dentmon,PG,202458
Justin Hamilton,C,203120
Justin Harper,PF,202712
Justin Holiday,"SF, SF-SG, SG",203200
Justin Jackson,"PF, SF",1628382
Justin James,SF,1629713
Justin Patton,C,1628383
Justin Reed,"PF, SF",2770
Justin Robinson,PG,1629620
Justin Williams,C,200818
Justin Wright-Foreman,PG,1629625
Justise Winslow,"PF, SF, SG",1626159
Jusuf Nurkić,C,203994
Juwan Howard,"C, PF, SF, SF-PF",436
Juwan Morgan,PF,1629752
Jérôme Moïso,"C, C-PF, PF",2040
K.J. McDaniels,"SF, SG",203909
KZ Okpala,PF,1629644
Kadeem Allen,PG,1628443
Kai Jones,C,-1
Kalin Lucas,PG,203564
Kaniel Dickens,"PF, SF",2079
Kareem Rush,"PG, SG",2416
Karim Mané,PG,-1
Karl Malone*,PF,252
Karl-Anthony Towns,C,1626157
Kasib Powell,SF,2867
Kawhi Leonard,SF,202695
Kay Felder,PG,1627770
Kebu Stewart,PF,1529
Kedrick Brown,SF,2208
Keifer Sykes,PG,-1
Keita Bates-Diop,"PF, PF-SF, SF",1628966
Keith Askins,SF,173
Keith Benson,C,202728
Keith Bogans,"SF, SG, SG-SF",2586
Keith Booth,SF,1522
Keith Closs,C,1569
Keith Langford,SG,101247
Keith McLeod,PG,2693
Keith Van Horn,"PF, SF, SF-PF",1496
Kelan Martin,SF,1629103
Keldon Johnson,SF,1629640
Kelenna Azubuike,"SF, SG",101235
Keljin Blevins,SF,1629833
Kelly McCarty,SG,1820
Kelly Olynyk,"C, C-PF, PF",203482
Kelly Oubre Jr.,SF,1626162
Kelvin Cato,"C, PF",1509
Kemba Walker,PG,202689
Ken Johnson,C,2256
Kendall Gill,"SF, SG",383
Kendall Marshall,PG,203088
Kendrick Nunn,PG,1629134
Kendrick Perkins,C,2570
Kenneth Faried,"C, PF",202702
Kenny Anderson,PG,72
Kenny Satterfield,PG,2261
Kenny Thomas,PF,1903
Kenrich Williams,"PF, SF",1629026
Kent Bazemore,"SF, SG",203145
Kentavious Caldwell-Pope,SG,203484
Kenyon Martin,"C, PF",2030
Kenyon Martin Jr.,SF,-1
Keon Clark,"C, PF",1721
Keon Johnson,SG,-1
Kerry Kittles,SG,954
Kessler Edwards,SF,-1
Kevin Burleson,PG,101207
Kevin Durant,"PF, SF, SG",201142
Kevin Edwards,SG,236
Kevin Garnett*,"C, PF",708
Kevin Hervey,PF,-1
Kevin Huerter,SG,1628989
Kevin Johnson,PG,134
Kevin Jones,PF,203158
Kevin Knox,"PF, SF",1628995
Kevin Love,"C, PF",201567
Kevin Martin,"PG, SG",2755
Kevin Murphy,SG,203122
Kevin Ollie,"PG, SG",1563
Kevin Pangos,PG,-1
Kevin Porter Jr.,"PG, SF, SG",1629645
Kevin Salvadori,C,1089
Kevin Séraphin,"C, PF",202338
Kevin Willis,"C, PF",788
Kevinn Pinkney,PF,200838
Kevon Looney,"C, PF",1626172
Keyon Dooling,"PG, SG",2039
Khalid El-Amin,PG,2064
Khalid Reeves,PG,234
Khem Birch,C,203920
Khris Middleton,"SF, SG",203114
Khyri Thomas,SG,1629017
Killian Hayes,PG,-1
Killian Tillie,C,-1
Kim English,SG,203119
Kira Lewis Jr.,PG,-1
Kirk Haston,"PF, SF",2213
Kirk Hinrich,"PG, SG, SG-PG",2550
Kirk Penney,SG,2632
Kirk Snyder,"PF, SF, SF-PF, SG",2745
Kiwane Lemorris Garris,SG,-1
Klay Thompson,SG,202691
Kobe Bryant*,"SF, SG",977
Kobi Simmons,PG,1628424
Korleone Young,SF,1748
Kornél Dávid,SF,1600
Kosta Koufos,C,201585
Kosta Perović,C,200785
Kostas Antetokounmpo,PF,1628961
Kostas Papanikolaou,SF,203123
Kris Dunn,PG,1627739
Kris Humphries,"PF, SF",2743
Kris Joseph,SF,203126
Kristaps Porziņģis,"C, PF",204001
Kurt Thomas,"C, C-PF, PF",703
Kwame Brown,"C, PF",2198
Ky Bowman,PG,1629065
Kyle Alexander,C,1629734
Kyle Anderson,"PF, SF",203937
Kyle Collinsworth,SF,1627858
Kyle Guy,"PG, SG",1629657
Kyle Korver,"PF, SF, SG, SG-PF",2594
Kyle Kuzma,"PF, SF",1628398
Kyle Lowry,PG,200768
Kyle O'Quinn,"C, PF",203124
Kyle Singler,SF,202713
Kyle Weaver,SG,201602
Kyle Wiltjer,PF,1627787
Kyrie Irving,PG,202681
Kyrylo Fesenko,C,201178
LaMarcus Aldridge,"C, PF",200746
LaMelo Ball,PG,-1
LaPhonso Ellis,"PF, SF",111
Lamar Odom,"PF, SF",1885
Lamar Patterson,SG,203934
Lamar Stevens,PF,-1
Lamond Murray,SF,441
Lance Allred,C,200984
Lance Stephenson,"SF, SG, SG-SF",202362
Lance Thomas,"PF, PF-SF, SF",202498
Landry Fields,"SF, SG",202361
Landry Shamet,SG,1629013
Langston Galloway,"PG, SG",204038
Lari Ketner,PF,1930
Laron Profit,"PG, SF, SG",1919
Larry Drew II,PG,203580
Larry Hughes,"PG, PG-SG, SF, SF-SG, SG",1716
Larry Johnson,"PF, SF",913
Larry Nance Jr.,"C, PF",1626204
Larry Owens,SF,202082
Larry Robinson,"PG, PG-SG, SF, SG",1683
Larry Sanders,"C, PF",202336
Latrell Sprewell,"SF, SG",84
Lauri Markkanen,PF,1628374
Lavor Postell,SG,2068
Lavoy Allen,"C, PF",202730
Lawrence Funderburke,PF,1444
Lawrence Moten,SG,734
Lawrence Roberts,"C, PF",101160
Lazar Hayward,SF,202351
Lazaro Borrell,SF,1953
LeBron James,"PF, PG, SF, SG",2544
Leandro Barbosa,"PG, SG",2571
Leandro Bolmaro,SF,-1
Ledell Eackles,SG,289
Lee Mayberry,PG,195
Lee Nailon,"PF, PF-SF, SF",1924
Leon Powe,"C, C-PF, PF, SF",200796
Leon Smith,C,1910
Lester Hudson,"PG, SG",201991
Linas Kleiza,"PF, SF",101132
Lindell Wigginton,PG,1629623
Lindsey Hunter,"PG, SG",283
Lindy Waters III,SG,-1
Linton Johnson,"PF, SF",2669
Lionel Chalmers,PG,2763
Litterial Green,PG,1036
Lloyd Daniels,SG,1380
London Perrantes,PG,1628506
Lonnie Walker IV,SG,1629022
Lonny Baxter,"C, C-PF, PF",2437
Lonzo Ball,PG,1628366
Loren Meyer,C,684
Loren Woods,C,2254
Lorenzen Wright,C,953
Lorenzo Brown,PG,203485
Lorenzo Williams,PF,31
Lou Amundson,PF,200811
Lou Williams,"PG, SG",101150
Louis King,SF,-1
Loy Vaught,PF,919
Luc Longley,C,26
Luc Mbah a Moute,"PF, PF-SF, SF",201601
Lucas Nogueira,C,203512
Lucious Harris,"PG, SG",446
Luguentz Dort,"SF, SG",1629652
Luis Flores,PG,2784
Luis Montero,SG,1626242
Luis Scola,PF,2449
Luka Dončić,"PG, SG",1629029
Luka Garza,C,-1
Luka Šamanić,PF,1629677
Luke Babbitt,"PF, SF",202337
Luke Harangody,PF,202376
Luke Jackson,SF,2739
Luke Kennard,SG,1628379
Luke Kornet,"C, C-PF, PF",1628436
Luke Ridnour,"PG, SG",2557
Luke Schenscher,C,101195
Luke Walton,"PF, PF-SF, SF",2575
Luke Zeller,C,202545
Luol Deng,"PF, SF",2736
Luther Head,"PG, PG-SG, SG",101129
Lynn Greer,SG,2696
M.J. Walker,SG,-1
Maalik Wayns,PG,203146
Mac McClung,"PG, SG, SG-PG",-1
Maceo Baston,PF,1766
Maciej Lampe,C,2573
Mahmoud Abdul-Rauf,PG,51
Makhtar N'Diaye,PF,1626122
Malachi Flynn,PG,-1
Malachi Richardson,SG,1627781
Malcolm Brogdon,"PG, SG",1627763
Malcolm Delaney,PG,1627098
Malcolm Hill,"SF, SF-SG, SG",-1
Malcolm Lee,SG,202723
Malcolm Miller,SF,1626259
Malcolm Thomas,PF,202952
Malik Allen,PF,2124
Malik Beasley,SG,1627736
Malik Fitts,PF,-1
Malik Hairston,SG,201612
Malik Monk,SG,1628370
Malik Newman,"PG, SG",-1
Malik Rose,PF,990
Malik Sealy,SF,907
Mamadi Diakite,PF,-1
Mamadou N'Diaye,C,2055
Mangok Mathiang,C,1628493
Manny Harris,SG,202412
Manu Ginóbili*,SG,1938
MarShon Brooks,SG,202705
Marc Gasol,C,201188
Marc Jackson,"C, PF",1531
Marcelo Huertas,PG,1626273
Marcin Gortat,"C, PF",101162
Marco Belinelli,"SF, SG",201158
Marcus Banks,PG,2556
Marcus Brown,SG,992
Marcus Camby,"C, PF, PF-C",948
Marcus Cousin,C,202408
Marcus Derrickson,PF,1629094
Marcus Fizer,"PF, SF",2033
Marcus Garrett,SG,-1
Marcus Georges-Hunt,SG,1627875
Marcus Haislip,"PF, SF",2409
Marcus Landry,SF,202068
Marcus Morris,"PF, PF-SF, SF, SF-PF",202694
Marcus Paige,PG,1627779
Marcus Smart,"PG, SG",203935
Marcus Thornton,SG,201977
Marcus Vinicius,SF,200790
Marcus Williams,"PF, PF-SF, PG, SF",200766
Mardy Collins,"PG, PG-SG, SF, SG",200776
Marial Shayok,SG,1629621
Mario Bennett,PF,712
Mario Chalmers,PG,201596
Mario Elie,"SF, SG",53
Mario Hezonja,"PF, SF",1626209
Mario Kasun,C,2435
Mario West,SG,201238
Mark Baker,PG,1858
Mark Blount,C,1548
Mark Bryant,"C, PF",95
Mark Davis,SF,707
Mark Hendrickson,PF,971
Mark Jackson,PG,349
Mark Jones,SF,2891
Mark Macon,SG,1855
Mark Madsen,"C, PF",2058
Mark Pope,"PF, SF",998
Mark Price,PG,899
Mark Strickland,"PF, SF",1110
Mark West,C,770
Markel Brown,SG,203900
Markelle Fultz,"PG, SG",1628365
Markieff Morris,PF,202693
Marko Guduric,SG,1629741
Marko Jarić,"PG, SF, SG",2060
Marko Milič,"SF, SG",1527
Marko Simonovic,C,-1
Markus Howard,SG,-1
Marlon Garnett,PG,1831
Marques Bolden,C,-1
Marquese Chriss,PF,1627737
Marquis Daniels,"SF, SG",2605
Marquis Teague,"PG, SG",203104
Marreese Speights,"C, PF",201578
Marshall Plumlee,C,1627850
Martell Webster,SF,101110
Martin Müürsepp,PF,982
Marty Conlon,C,55
Martynas Andriuškevičius,C,101149
Marvin Bagley III,PF,1628963
Marvin Williams,"PF, SF",101107
Mason Jones,SG,-1
Mason Plumlee,C,203486
Mateen Cleaves,PG,2043
Matisse Thybulle,SG,1629680
Matt Barnes,"PF, PF-SF, SF",2440
Matt Bonner,"C, PF",2588
Matt Bullard,"PF, SF",672
Matt Carroll,SG,2679
Matt Costello,C,1627856
Matt Freije,PF,2782
Matt Geiger,C,761
